month,p10,p25,p50,p75,p90
2055-05-01,553080.7160766918,685738.6286727479,884327.6946730674,1163831.2336889242,1504491.495691259
2055-06-01,555691.186958922,688230.8988198872,891550.3961755706,1167738.954047333,1512121.2537833685
2055-07-01,557428.8476603157,692752.0191331797,896219.2214120888,1172992.9227911977,1520369.9685135484
2055-08-01,558629.0446565382,696161.1057064026,899320.972723761,1178939.5192537715,1528859.9687583295
2055-09-01,561968.5840882327,700777.0766337757,905216.9898156784,1186514.6187476874,1536858.1875472965
2055-10-01,563750.7404318642,703438.4672899434,908678.4344224861,1195974.2694036942,1546591.3255927903
2055-11-01,568975.8794137338,706417.6784086593,914686.8442253467,1204984.984654035,1558114.7294236054
2055-12-01,571545.7525044545,711336.5665764458,919333.5418750625,1212567.5122523499,1570168.4894775432
2056-01-01,572861.2879963297,712007.2533845641,925619.1010747165,1218209.547201462,1576767.1247232277
2056-02-01,574757.4277020661,717982.9431968635,929753.4024730553,1223757.8066545199,1586429.9494230503
2056-03-01,576896.291193634,721019.9031562961,932048.8704761975,1226191.1472751028,1597465.1361642925
2056-04-01,580477.9639101989,724009.5025781501,938341.3161903054,1232714.957980943,1604300.787203744
2056-05-01,583787.5164174011,728124.5961975206,941498.761412639,1238243.5049184377,1614681.0960323375
2056-06-01,582925.5782081794,729925.5395649787,944199.4281608835,1246866.6768340038,1621240.1059567293
2056-07-01,586450.0032590411,734677.052699587,951261.2793268536,1253077.4301927225,1629592.1826272577
2056-08-01,587321.0143809988,738759.8531404828,953871.0680507787,1262972.67530363,1636518.1884044968
2056-09-01,589659.1335005063,742790.7909107383,960048.406861516,1268526.8865876398,1653305.171530704
2056-10-01,595695.964098095,745138.41527536,965054.0748582135,1281803.88809025,1663932.3345038819
2056-11-01,598138.1237327394,748546.4179791417,970160.875913068,1286632.867782976,1675232.353039216
2056-12-01,599119.6828010944,751216.7347760728,974442.0101739424,1291816.5953655366,1687349.4267912363
2057-01-01,601848.9146417303,753947.8028278969,978534.2303143006,1297278.9502471846,1695013.0763639263
2057-02-01,603874.6859950867,757932.4575799842,985685.3134803632,1309839.8892722223,1706152.7449456872
2057-03-01,606999.5929292892,760914.8033946807,987510.9434993598,1318783.7273478354,1715454.6080851823
2057-04-01,608782.9434891129,762834.9062971834,990811.0554489186,1326169.7933137505,1723502.9784286802
2057-05-01,610342.9803813208,764981.3595624946,998015.5312920588,1330257.96345041,1735705.0166327204
2057-06-01,614623.5381004086,770096.7504005488,1001676.453426557,1339549.4881611404,1746755.1538243631
2057-07-01,616571.1945200117,773806.4880517703,1008555.8264028395,1346142.4786171138,1753104.418239521
2057-08-01,618384.8765230607,778000.1896672328,1014576.7640372786,1353197.7976057108,1757997.1236438358
2057-09-01,621928.262222585,782801.2349925982,1018629.080484613,1361111.10235833,1771161.3994508826
2057-10-01,623163.8788450764,787512.2135367007,1024681.333917578,1369457.9399261123,1786728.7019785692
2057-11-01,628186.2353274007,789640.5037260805,1029694.9224834868,1381173.5639411178,1796780.6017160008
2057-12-01,629048.3613402805,792522.2539997927,1032620.2161439857,1388823.4306083163,1810300.5033983316
2058-01-01,631182.4503482758,796226.0798149917,1036802.1474079364,1392135.3673716988,1811509.3574983862
2058-02-01,630075.7929241114,799058.684816384,1042050.9658906804,1403832.8110707372,1821958.8759586664
2058-03-01,636127.1028099197,801862.8500725294,1050240.874733673,1408836.5115122814,1836499.4605381005
2058-04-01,641584.7325275978,805855.2878027611,1054130.8208094728,1420862.8021580074,1854979.4720185155
2058-05-01,642624.7055590965,811850.2979631608,1060162.4700700887,1425708.3192867648,1863838.4909526203
2058-06-01,645689.9670579338,815363.6958551472,1065408.7540993765,1431871.4034582202,1879367.781275977
2058-07-01,648210.5098782482,818006.0498895068,1071832.2664849414,1441715.8560619608,1886906.5387484801
2058-08-01,649646.277361018,819435.5053430137,1080506.227752828,1449553.6359718936,1892997.5064938134
2058-09-01,653009.060257009,825313.1021570904,1083131.6021151883,1456949.717835485,1911946.5586068411
2058-10-01,656607.4032595373,828395.2058575943,1086993.6686279546,1463972.9850072102,1917448.7304854393
2058-11-01,661339.9152123553,831175.0750462238,1092018.631536889,1478120.794952509,1933935.4964481145
2058-12-01,664383.0061134807,834583.6463473613,1100114.6318556687,1485182.273429378,1945035.289071079
2059-01-01,665368.9660561887,837942.160764171,1103306.9938150418,1488751.4387245076,1953327.8845792292
2059-02-01,669214.6038939989,838581.3716833151,1112106.7394227253,1492611.7644249278,1963281.6365731223
2059-03-01,671489.7082452165,847176.7534819341,1117261.2750632365,1505940.6854441066,1971256.7033904921
2059-04-01,675336.1965818679,851463.1342021916,1125053.33058471,1513085.1176893306,1990957.6320711174
2059-05-01,678225.2102941283,857134.7713863283,1127403.5431633242,1521084.9254429345,1995458.0508998972
2059-06-01,677042.1451918046,859620.349565559,1130179.300443447,1527544.5806744879,2011316.738566265
2059-07-01,680205.7420344362,862475.8308454196,1137393.6623653704,1539473.446815318,2024239.888882885
2059-08-01,681707.3925706528,867815.0563922753,1143086.5855714001,1550036.9122258313,2034052.4049703786
2059-09-01,683225.8782928349,870591.953560345,1150522.8237541022,1558180.5924585005,2044607.3499238773
2059-10-01,687001.5519968525,877339.4469263777,1154243.4683403766,1566797.4254355708,2049462.1643382867
2059-11-01,688753.5217034605,878915.8072198704,1160206.934799539,1572506.256415083,2067075.0494735239
2059-12-01,691763.9927499136,882221.8333913777,1168281.761722361,1584847.4567000375,2074460.0248216062
2060-01-01,694018.173122258,887209.2645581414,1173653.5508111992,1592265.9523803743,2086184.4489920721
2060-02-01,698220.4576616747,889658.6702411792,1179829.2779944148,1600764.8760744487,2097474.04317655
2060-03-01,701678.5830154519,897025.9174060561,1184796.5531461374,1605713.4714741756,2115711.3106642393
2060-04-01,703241.359426653,899366.9962184585,1188557.0957430352,1618074.253914503,2120029.5726864003
2060-05-01,707770.1609779691,901767.1446319832,1196681.7854516963,1626847.4848704305,2133057.125909769
2060-06-01,710033.947855347,905419.9282879787,1202907.7481577338,1631890.8538773344,2151518.448599822
2060-07-01,712997.6754468542,909265.6870074477,1203456.5651537003,1640193.0428472606,2155491.0777564896
2060-08-01,717982.2557300649,911484.2362401173,1213926.3845792967,1642543.4059287277,2175800.397836859
2060-09-01,719581.3534958339,914809.1741094558,1221079.0549476303,1654081.7738167017,2187254.9358486193
2060-10-01,723781.4328457575,920199.2978224466,1228954.5325686592,1663845.8619167986,2198157.868606047
2060-11-01,725396.6411397983,924155.6010892063,1232909.5432220874,1674720.709697471,2214463.0264589144
2060-12-01,730218.6369773451,924554.575901519,1238833.9515637094,1679239.1244704844,2228686.777188637
2061-01-01,731026.3609078466,933658.8777907802,1242002.1368059884,1688814.0475383864,2254770.8067761287
2061-02-01,733117.00373402,938831.1269291034,1246119.7134032743,1701016.2174488904,2263078.359830228
2061-03-01,736720.5758652589,943307.4863315052,1253202.8663544694,1708994.3641929561,2287962.9918581317
2061-04-01,736616.409919109,947604.1971835695,1259385.1700549014,1719827.6212496962,2296343.9905103464
2061-05-01,740200.5420754809,952970.8745224602,1260805.947893066,1725582.8181482349,2306551.8432135526
2061-06-01,742696.4767163739,956261.271234356,1269167.7401341018,1733521.4024856256,2321917.1849020524
